"HolderAddress","Balance","PendingBalanceUpdate"
"0x001b71fad769b3cd47fd4c9849c704fdfabf6096","1562.62057825","No"
"0x01228d70a0980d85a103d9a753707104757f69bc","142.62353017","No"
"0x038a7bba4439a210a5caebda8ec1642a5a7747c4","85303.03926743","No"
"0x03b9129679cf84e608c072677003a1e65089433c","154.65873355","No"
"0x052aa017270434c91ca09c082018bd3b8f26e613","129.17021807","No"
"0x06e0fe46a6590d32377eb0d9a8ad6f9d9adfd74c","2032.74865881","No"
"0x073aba73177668ba1c6661a4ccddbf77dfc8809a","4898.72701254","No"
"0x07763129fa385d896bd3112298f000080c04a980","17.28340457","No"
"0x07c8b4d7f1bc58f8780ea96e9ab68c840ba04eff","346.27322253","No"
"0x088c56a24dc58c78d5d15ad55ab3811658c9dfa0","19.40785754","No"
"0x08f5e212d71f1ed0303d2987704fb29659d25a89","516.62642521","No"
"0x0a32011afc911d510ab61f2c4a5620b1f4c21b1d","12354.79835595","No"
"0x0aff497bd016000185b1c8302fa98a88ff4a4178","2082.2620061","No"
"0x0c403e0d57eeb8f091bcfa8efdf01c00509f04f2","327.57607748","No"
"0x0e754f74e799d5d4f096194851339a5e78dd3bf5","1436.20473302","No"
"0x0e88fbedfa2ff11755cee0a2ce10beef88eb5abe","479.9041828","No"
"0x0f2f9599c19cddd869d0bbf7bc3bfe354dd5b40a","2542.34214867","No"
"0x0f45156f109e474295913d78036fa213b1745d5a","1105.44704026","No"
"0x10840038305857268f28f6a9ff844c1d30c67811","128.73912919","No"
"0x11b1785d9ac81480c03210e89f1508c8c115888e","198.59466783","No"
"0x133acc82d6eaaec2a12e7547835219860551c570","122.54814786","No"
"0x13afb3b7b16a57b8b799cc0b7b4f6782505f3bfe","97.74923054","No"
"0x177ca251c1ffc18462a552711fdff08555b1d342","696.73455723","No"
"0x17ea92d6ffbaa1c7f6b117c1e9d0c88abdc8b84c","281.7722304","No"
"0x1a6db538813dbfa63e1f19f8804447187b7d401d","5266.94987219","No"
"0x1b366f42d0478aff04c77105b4e994fa574dadca","2090.63719678","No"
"0x1c22eb7bf68e0c8338b98d1f0e9568e2899bdaf2","101.51444188","No"
