"HolderAddress","Balance","PendingBalanceUpdate"
"0x0000000000007f150bd6f54c40a34d7c3d5e9f56","9.272E-05","No"
"0x00000000000080c886232e9b7ebbfb942b5987aa","39775.56374956","No"
"0x00000000553a85582988aa8ad43fb7dda2466bc7","0.59434508","No"
"0x0000000094acb89a43eac2fbb3a07973efc2435c","0.02016605","No"
"0x000cef8f0ab0a2fadbecaeb92e8781ab3e04b01e","794.47166631","No"
"0x00107747fcd88208becefcc2c01147d330d16f2c","452.65972089","No"
"0x0014af41d67a9b06d9606f44955f7d13975b7d50","0.37359313","No"
"0x0018573bbfdedcea76f6a7fa24b4dea3fdaa0333","11485.18993439","No"
"0x0026b79b79407afa5f6ae1aebd9d4e08a38dbc4b","901.04240819","No"
"0x0039e762ecd8e8f074e93575dc395abfce4ef8b6","9950.13207851","No"
"0x003dc32fe920a4aaeed12dc87e145f030aa753f3","13322.70172601","No"
"0x004f9fc5d38badcce79dae1c0ec0b95fa7bdd27a","20045.75243636","No"
"0x005b0743d8b2ed646499dc48b64b95e71b8afa43","10527.37763736","No"
"0x005ff202c271d2419fb03ec873dedfe163a5ce36","495.9744277","No"
"0x0073c423a0b5d88b330d481301025db1ab65d891","62931.03962383","No"
"0x008977e82961a08e88ea94e0f4f9b2a9d6f470e7","1075.4190366","No"
"0x008b1ffe244bf31896c833bff4ad9009e7a0f4eb","30611.40150353","No"
"0x008ebffdefda38239e0013e1928390cdc5f2bc9b","19990.84509567","No"
"0x00929c5c2c4f00b540e429247669eb6fcd8b1dbf","8350.8940979","No"
"0x0117a87846a713e9c1432e721dac3352f74084db","0.00099988","No"
"0x0168d10a86407ce7c017f6259127ff465d252724","14664.81149076","No"
"0x0174f04db8868744604744cc9cd786c2df1f5b91","4962.7627086","No"
"0x018746215c0c7a4c6aa85cb0f7f67dbc0c95120e","997.26003759","No"
"0x01ff3a6ae27f59ac1a706568749aac2632520008","10085.41618251","No"
"0x0215c140840b896e1e371525d1f70cefbd09aafa","22017.73754327","No"
"0x021f353ee2a8ea3798b3ce95bb02b22dbfcbdc55","421.58654882","No"
"0x023e0adbace4881f08778c671c4f8f632054b3ca","1232.33823379","No"
"0x02412bd3f80e8c42af80ab85e094cf88958f14ff","47338.58715605","No"
"0x026cfe8238076c5500416ce21c6c3b3e00484494","29891.2890959","No"
"0x028bf0e4d1c856d45df77b135e5083e46fe99678","38.28782585","No"
"0x029d0eb5a3afbdf7b3d5e4959e90543dd261c62d","41903.74434089","No"
"0x02a8f422e4623cf409b2a1a64a603b16357ea9da","2135.24373585","No"
"0x02af8d6136004c06cfa1768155fa34dc86956516","522.43627037","No"
"0x02c0462ae7f5100a3944681660b5cf56b0c804cb","296.0466711","No"
"0x02c6aed29690d50cd625739efda526c298540181","6097.43953516","No"
"0x02d4d9dd2a3d1565bf87264a92e7c48b8006936e","20150.60827461","No"
"0x02dbd1aa375c7d00ecf1de198158ffa332110d47","24972.36839859","No"
"0x03096e3b31f0cd84db1d59a8a9c7bf766828b7cd","490.16337083","No"
"0x0319112355f074c4b2c34383612d318fee9efb5e","152625.27942336","No"
"0x0335b72579ecde83e82817e58c59d6d3cfe83b12","44358.31539831","No"
"0x0363c03a541e2fa9a246edce8968e51e6f93b346","25824.70756245","No"
"0x038065f8d8bf24101ffc7983d8baa426856a1f19","2628.153122","No"
"0x0381ad07585a5f17531526a59b45219a29f49ad4","2932.83185719","No"
"0x0396dd6acc42ce2f0733e2e6fed7cd157ec930c1","18074.3211871","No"
"0x03a1a0ee0e2a14bd069c8691a4adeabfa6a4d709","39945.4103984","No"
"0x03a39e18bbce7863ff363b994f2001ab72778051","558.64292935","No"
"0x03b5dd60bd9dda7e863f290210f6a14e83e6531d","340.10167056","No"
"0x03f6b8340e9b8582b75f8a5b71a5941717e38da4","498.1972213","No"
"0x0450fa23337331331a15547a57da1dd514602be2","275.02405381","No"
"0x04583e7b1a7f3bf06c45382065f7bd0a8741627d","40500.7952187","No"
"0x045e959fc6e43c9e1b8135268b8ba1cd5f2f32b5","19997.40092259","No"
"0x04824f05790415ab33bf27324e7fdb7a9c0fe280","1.319E-05","No"
"0x0489076a0d17394835af93cd62acff703b6814a9","13914552.391342","No"
"0x048cacc922c027f2ec13c56c1609c8a5684d1927","8500.19185305","No"
"0x04b8dc608a5d9208bb78f95919f8837727090551","173.00888178","No"
"0x04d728fbd2c039f416fe16783c2c9a6f8da0a6e8","19982.40553522","No"
"0x04e15e44e0a8fa1dc5b481bc2ad404d46e561ab0","175071.93217161","No"
"0x05044cd27c93633b9b2da2e1c427d0f0bff26d55","15961.09316628","No"
"0x0506dd227064ca5510f0c6211b13dca9f9abdec1","19844.86788682","No"
"0x05205bc2a63e0873e3996e926879d5eeb7964cb7","1966.44726724","No"
"0x05327ca0590e721d5af0549ec40415d05155a2a4","19889.06885237","No"
"0x055574741bce7fc0f4e6407a15a068fdd38d1a6e","1492984.44197087","No"
"0x057724a988bd9c10f5cf3ede071001d874b8cfa1","19819.38259918","No"
"0x057f1eab2d845a08f5c8902b070d6f365df148f8","20175.90849921","No"
"0x05a300f236eeb3ab3aec67fa744ba1d0cb303585","19823.40564326","No"
"0x05ebf7b089a859af295b4f4d96673edcb5ef6621","23263.84031644","No"
"0x05f94e011ac7bf3998ee249ab2cf401774cb1028","222.28797335","No"
"0x0609394b26962421f97b6b2b3efa70ece837389c","12.37327381","No"
"0x0621d70c12925ee474ce974f5e2c133bec7f9fa8","291.66416303","No"
"0x0650d780292142835f6ac58dd8e2a336e87b4393","24350242.6582574","No"
"0x0662f876d21a65693180de7b6dd61d795e5ff473","19999.94443878","No"
"0x06887528a49f7541a968f959e5d9457e8183d270","19859.03702309","No"
"0x06899b851e0cc9b1e9348c0e985e6c5454bbd889","2000","No"
"0x068b5939f0aef15764f5fa8c39f7723d509365f1","19944.38109497","No"
"0x068b7fc1be53c7bf15c6580d2b45d54b2cc10980","3976.49814023","No"
"0x069b03290427b5372e7317da53def28cedecb1b7","83.65314367","No"
"0x06b2becc1c0b244b63d1db088db029135c22cd71","514.98165606","No"
"0x06ba48d1f357c27bf402936d57d1508f18b51fb5","48496.09163111","No"
"0x06c75d17c3be54de59a4f2afdfcbda6846892a91","34.116088","No"
"0x06d82e1e0c2206df58091336ddb0487a569f7439","1289.41106313","No"
"0x06f9edbebcb21684d18c57ca7b163752771ac535","99.8266373","No"
"0x071a79b04021baf1b6f32a5c233c7d01dbde0e0f","32.30086748","No"
"0x07763129fa385d896bd3112298f000080c04a980","53596.13639018","No"
"0x0777e51ec7f3ef4e56d3f2fb4c0fdfe94515d898","2499.38054003","No"
"0x078fc151d46911a80f611fcd01f381d9fcdd2c03","0.12449163","No"
"0x078fe37e72f70095844539bb08977826d20df9c0","6550.77980968","No"
"0x0794e8235fbdfaf2061a6721ade61126d8493b35","1763.37583569","No"
"0x07d46bc0ca9099cc7b1253cf2126f05835b852ed","10777.74062902","No"
"0x07df7775902c31c24eddac2c462b30cf988d7e19","53043.07974997","No"
"0x07f58c9792bc03443d7b96ed314800a911a11680","50799.19451673","No"
"0x07fe984c446417c1ff4532ce4fd67eeb59a0d682","43050.68764753","No"
"0x0802a1511cae28c6a90f652b6f43596e2499a4cc","0.01","No"
"0x0825602e9d177b51af7d79acbdc68a746bc41ce4","10627.22210394","No"
"0x085bda2c57c64424d9662936a920640d009e2232","20922.35526456","No"
"0x085f29857f26dfd4d4b3560b7f2ff2e79871d83d","291169.71336372","No"
"0x08b6e0844982cde2182aedce4f8d65acf35dae46","14966.72806153","No"
"0x08d7cf23b96fd3ee4955955dfcbcdd3fde68b420","0.00107827","No"
"0x090869e2f2764f300607861171de5a074b0bc9d6","9099.55597322","No"
"0x093c13ed1fbec268e05c345a3a0bedf144018dfe","81.17147896","No"
"0x0957e0613b7c3247818b0b1c2ae3592c054e272d","28183.82699257","No"
"0x09627ce8afbecbf967d46586a169c804a7dc3d20","267.04024214","No"
"0x0963235132a5d23392631255af8494b0396536cc","9978.87421061","No"
"0x096cd4f0c6182f3b485f25046d249b79358d57a7","820733.91335541","No"
"0x0976df6f871550fdc47636208ac9815d42c6caf1","497.69655041","No"
"0x0995640767547c1a9ba8a5ac071c19cf9a607dc6","51.84657592","No"
"0x09a37827f98abf0bf70826975ac8af8851134780","20274.20393319","No"
"0x09bb6179ea9293a37c298c96a3f62781bf2e3a4e","2508.51610377","No"
"0x09cdd1ec94503878479e472cfb3573e145370a86","99902.78708758","No"
"0x09d390e78faa3eca8c6e3c0bb3c6cbcaf679a44c","168298.44399406","No"
"0x09e8e84ace0e34851516c11ecf9948f5d414a764","2484.03294662","No"
"0x09f1b4c0a59494f2c695924bcc4b9ce698f22233","2963.8033413","No"
"0x0a17a88239d4b1762a41a6fe9eda74974e4a3ce2","167.28609133","No"
"0x0a1e0715f6968fe4991d970a68bfb20731b82f51","20011.72018371","No"
