"HolderAddress","Balance","PendingBalanceUpdate"
"0x058db3c19fe7b009e768c82c4ff73adc3126d470","122.36427451","No"
"0x0aaf72da643570da1bf76e8b3063c3f378b3d3d4","484.71821749","No"
"0x108a8b7200d044bbbe95bef6f671baec5473e05f","314.82822327","No"
"0x109a325a32f8518c963e682f2d96f5e82d9dd9e6","483.76164334","No"
"0x11cfa9cc8ec4fb336dd5baa5c9ddfe18f079187e","317.94433729","No"
"0x13afb3b7b16a57b8b799cc0b7b4f6782505f3bfe","1476.5152689","No"
"0x18560ee6191fe0676cff866d9c7f5d661f993e75","1396.12962083","No"
"0x1859be698a97f972d0c43a7e8810897717804a1b","51.52309493","No"
"0x18b7f95442ec71442f45f480c4f56633c323d991","0.35931929","No"
"0x1b91e2c9db800889ea34373efaab59c9dfddd443","58206.51365571","No"
"0x1bd28ad9b9d3d9426e0805dbb6a2880926e7eaf4","29468.98957378","No"
"0x1cc972ff969689873f8010bdd0cf3dc30618397e","107997.34281089","No"
"0x1e8b1cb956e1d224e1e28683fbae332ab6d42a9d","4838.1911255","No"
"0x1ee3ffce917d130c15e7d1109c31936b7a24f164","0.0150871","No"
"0x23c0bae29b2c92d90ebdf2b78ff86f1cb1bb667d","5826341.11328399","No"
"0x299a7a897127b0c54f8c80ade4d62fe015229c6c","37053.66689729","No"
"0x2a27701cc0b411805617ad9c130ae9d488073136","553.41095178","No"
"0x2d7229da33f0fc86b15cf0799b1cc52e86d668c0","9846.92018913","No"
"0x2d81c323bd4e38627dbfb3f31dd42b01ae6c3cd8","258648.88508589","No"
"0x2f74044a9560d62c8e5ac362b1bdc6baf79b7660","1787.34757042","No"
"0x2fdaf6870c7f3755c20f4afb128d9ee78d583167","1493773.758684","No"
"0x31adfbf4f653bcdc3a12c889fa721ee76605ffa8","2654929.24926397","No"
"0x34cadf09dbf50a39d1a68b87d7763db3961ef483","374744.8138681","No"
"0x36cc7b13029b5dee4034745fb4f24034f3f2ffc6","7878328.66816148","No"
"0x36e0edc88cd1902f189ac922a4401cf4f389a110","5755.04710892","No"
"0x3bbfd40d57a17cf439c497be5f33bd753f2ac615","12530.69193931","No"
"0x3c2714b19cc07feb1fde1e2674a19d045f02d255","92652.96145506","No"
"0x3ffec5650357f9f0def2e503bf418fc48ce32508","0.14370563","No"
"0x44693366d7de6d2f496dd17bb15fc55c6d3f367d","9520.46159255","No"
"0x505428711f235aef769bc9320977c7c3cbb6cd87","52.97567372","No"
"0x506c4c4325b133b9dc277b00b58b01c606ac6ddd","754334.51546525","No"
"0x5354baafe1934b5e8068221ed631856bfe7f512d","874914.34850193","No"
"0x5398850a9399da87624874704feaa8a9c6c4089b","1.23326804","No"
"0x53afeb120edce5d778cab7de76d34f5fcd92c7d0","12085590.7146674","No"
"0x553dd98aeadec964ab7a46d9afecf73e725dcdcc","8472.6907045","No"
"0x563506eeccff74d9b22d71de5591ab99569bde95","0.00604137","No"
"0x5bfdb1fa1f81161ec4271fe21f5c8b2662e3f22d","137.41661883","No"
"0x5ce5c394a0f8a4be282c8659e405524a089a9843","1401.35828238","No"
"0x5fcf6e9c7e97986a14a79a8c7a69b928a7812dcd","165404.45924998","No"
"0x604dfcffc8ee8fcff12ca011479a6136f7416d23","25.765184","No"
"0x63252d7ed07cd0de190b52861f7dc691e2b86983","17390.57890573","No"
"0x65b0d5e1dc0dee0704f53f660aa865c72e986fc7","0.13746198","No"
"0x66641d903db3bcad08d66cb222ed0a6205421ec7","4038.15522816","No"
"0x66f174184b24b3dafa63c4c716c4fb9d251d598e","483.45780985","No"
